'Blueberries' Buckshot | NSWC SEAL: 1672.62 RUB
'Medium Rare' Crasswater | Guerrilla Warfare: 3361.24 RUB
'The Doctor' Romanov | Sabre: 1244.14 RUB
'Two Times' McCoy | TACP Cavalry: 839.96 RUB
'Two Times' McCoy | USAF TACP: 828.78 RUB
10 Year Birthday Sticker Capsule: 82.93 RUB
1st Lieutenant Farlow | SWAT: 967.61 RUB
2020 RMR Challengers: 21.63 RUB
2020 RMR Contenders: 29.95 RUB
2020 RMR Legends: 21.99 RUB
2021 Community Sticker Capsule: 90.95 RUB
3rd Commando Company | KSK: 1182.14 RUB
Aces High Pin: 795.97 RUB
AK-47 | Aquamarine Revenge (Battle-Scarred): 3410.53 RUB
AK-47 | Aquamarine Revenge (Factory New): 32979.58 RUB
AK-47 | Aquamarine Revenge (Field-Tested): 4100.00 RUB
AK-47 | Aquamarine Revenge (Minimal Wear): 7623.04 RUB
AK-47 | Aquamarine Revenge (Well-Worn): 3386.75 RUB
AK-47 | Asiimov (Battle-Scarred): 3930.00 RUB
AK-47 | Asiimov (Factory New): 61316.79 RUB
AK-47 | Asiimov (Field-Tested): 3927.41 RUB
AK-47 | Asiimov (Minimal Wear): 5600.00 RUB
AK-47 | Asiimov (Well-Worn): 4015.46 RUB
AK-47 | B the Monster (Battle-Scarred): 11800.00 RUB
AK-47 | B the Monster (Factory New): 124000.00 RUB
AK-47 | B the Monster (Field-Tested): 27160.50 RUB
AK-47 | B the Monster (Minimal Wear): 56842.11 RUB
AK-47 | B the Monster (Well-Worn): 18898.00 RUB
AK-47 | Baroque Purple (Battle-Scarred): 705.00 RUB
AK-47 | Baroque Purple (Factory New): 10918.93 RUB
AK-47 | Baroque Purple (Field-Tested): 776.78 RUB
AK-47 | Baroque Purple (Minimal Wear): 1818.11 RUB
AK-47 | Baroque Purple (Well-Worn): 701.07 RUB
AK-47 | Black Laminate (Battle-Scarred): 3579.76 RUB
AK-47 | Black Laminate (Field-Tested): 3578.00 RUB
AK-47 | Black Laminate (Minimal Wear): 5906.84 RUB
AK-47 | Black Laminate (Well-Worn): 3578.77 RUB
AK-47 | Bloodsport (Factory New): 21000.00 RUB
AK-47 | Bloodsport (Field-Tested): 14752.00 RUB
AK-47 | Bloodsport (Minimal Wear): 14736.84 RUB
AK-47 | Bloodsport (Well-Worn): 14730.70 RUB
AK-47 | Blue Laminate (Factory New): 2599.00 RUB
AK-47 | Blue Laminate (Field-Tested): 1668.32 RUB
AK-47 | Blue Laminate (Minimal Wear): 1686.85 RUB
AK-47 | Blue Laminate (Well-Worn): 2327.58 RUB
AK-47 | Cartel (Battle-Scarred): 1763.62 RUB
AK-47 | Cartel (Factory New): 9000.00 RUB
AK-47 | Cartel (Field-Tested): 1728.40 RUB
AK-47 | Cartel (Minimal Wear): 2197.89 RUB
AK-47 | Cartel (Well-Worn): 2097.67 RUB
AK-47 | Case Hardened (Battle-Scarred): 17500.00 RUB
AK-47 | Case Hardened (Factory New): 96549.91 RUB
AK-47 | Case Hardened (Field-Tested): 20500.00 RUB
AK-47 | Case Hardened (Minimal Wear): 28035.96 RUB
AK-47 | Case Hardened (Well-Worn): 17800.00 RUB
AK-47 | Crossfade (Battle-Scarred): 222.14 RUB
AK-47 | Crossfade (Factory New): 718.00 RUB
AK-47 | Crossfade (Field-Tested): 222.04 RUB
AK-47 | Crossfade (Minimal Wear): 322.52 RUB
AK-47 | Crossfade (Well-Worn): 223.83 RUB
AK-47 | Elite Build (Battle-Scarred): 165.98 RUB
AK-47 | Elite Build (Factory New): 883.05 RUB
AK-47 | Elite Build (Field-Tested): 178.95 RUB
AK-47 | Elite Build (Minimal Wear): 288.37 RUB
AK-47 | Elite Build (Well-Worn): 164.00 RUB
AK-47 | Emerald Pinstripe (Battle-Scarred): 307.08 RUB
AK-47 | Emerald Pinstripe (Factory New): 1059.02 RUB
AK-47 | Emerald Pinstripe (Field-Tested): 303.13 RUB
AK-47 | Emerald Pinstripe (Minimal Wear): 418.11 RUB
AK-47 | Emerald Pinstripe (Well-Worn): 304.10 RUB
AK-47 | Fire Serpent (Battle-Scarred): 53000.00 RUB
AK-47 | Fire Serpent (Factory New): 345560.25 RUB
AK-47 | Fire Serpent (Field-Tested): 83076.30 RUB
AK-47 | Fire Serpent (Minimal Wear): 150261.60 RUB
AK-47 | Fire Serpent (Well-Worn): 77149.80 RUB
AK-47 | First Class (Battle-Scarred): 8060.00 RUB
AK-47 | First Class (Factory New): 24418.69 RUB
AK-47 | First Class (Field-Tested): 10778.47 RUB
AK-47 | First Class (Minimal Wear): 13000.00 RUB
AK-47 | First Class (Well-Worn): 8500.00 RUB
AK-47 | Frontside Misty (Battle-Scarred): 1847.59 RUB
AK-47 | Frontside Misty (Factory New): 19421.06 RUB
AK-47 | Frontside Misty (Field-Tested): 1900.00 RUB
AK-47 | Frontside Misty (Minimal Wear): 3527.97 RUB
AK-47 | Frontside Misty (Well-Worn): 1843.79 RUB
AK-47 | Fuel Injector (Battle-Scarred): 10810.00 RUB
AK-47 | Fuel Injector (Factory New): 71569.96 RUB
AK-47 | Fuel Injector (Field-Tested): 17647.26 RUB
AK-47 | Fuel Injector (Minimal Wear): 26418.92 RUB
AK-47 | Fuel Injector (Well-Worn): 12757.21 RUB
AK-47 | Gold Arabesque (Battle-Scarred): 155220.00 RUB
AK-47 | Gold Arabesque (Factory New): 454912.35 RUB
AK-47 | Gold Arabesque (Field-Tested): 200831.28 RUB
AK-47 | Gold Arabesque (Minimal Wear): 296044.70 RUB
AK-47 | Gold Arabesque (Well-Worn): 186748.97 RUB
AK-47 | Green Laminate (Factory New): 9570.53 RUB
AK-47 | Green Laminate (Field-Tested): 2708.44 RUB
AK-47 | Green Laminate (Minimal Wear): 2735.72 RUB
AK-47 | Green Laminate (Well-Worn): 3599.99 RUB
AK-47 | Head Shot (Battle-Scarred): 2768.56 RUB
AK-47 | Head Shot (Factory New): 13348.15 RUB
AK-47 | Head Shot (Field-Tested): 3300.00 RUB
AK-47 | Head Shot (Minimal Wear): 6998.98 RUB
AK-47 | Head Shot (Well-Worn): 2949.71 RUB
AK-47 | Hydroponic (Battle-Scarred): 82000.00 RUB
AK-47 | Hydroponic (Factory New): 634327.99 RUB
AK-47 | Hydroponic (Field-Tested): 251439.43 RUB
AK-47 | Hydroponic (Minimal Wear): 451181.90 RUB
AK-47 | Hydroponic (Well-Worn): 200000.00 RUB
AK-47 | Ice Coaled (Battle-Scarred): 430.54 RUB
AK-47 | Ice Coaled (Factory New): 1669.06 RUB
AK-47 | Ice Coaled (Field-Tested): 443.78 RUB
AK-47 | Ice Coaled (Minimal Wear): 789.16 RUB
AK-47 | Ice Coaled (Well-Worn): 616.71 RUB
AK-47 | Inheritance (Battle-Scarred): 4757.88 RUB
AK-47 | Inheritance (Factory New): 16188.40 RUB
AK-47 | Inheritance (Field-Tested): 5277.37 RUB
AK-47 | Inheritance (Minimal Wear): 8800.00 RUB
AK-47 | Inheritance (Well-Worn): 5219.51 RUB
AK-47 | Jaguar (Battle-Scarred): 7447.99 RUB
AK-47 | Jaguar (Factory New): 63373.59 RUB
AK-47 | Jaguar (Field-Tested): 8700.00 RUB
AK-47 | Jaguar (Minimal Wear): 21212.84 RUB
AK-47 | Jaguar (Well-Worn): 7453.34 RUB
AK-47 | Jet Set (Battle-Scarred): 31500.00 RUB
AK-47 | Jet Set (Factory New): 330187.49 RUB
AK-47 | Jet Set (Field-Tested): 36879.43 RUB
AK-47 | Jet Set (Minimal Wear): 56789.22 RUB
AK-47 | Jet Set (Well-Worn): 29774.49 RUB
AK-47 | Jungle Spray (Battle-Scarred): 570.99 RUB
